n,trial,bf_len,bf_time,bf_mem,hk_len,hk_time,hk_mem,nn_len,nn_time,nn_mem,lk_len,lk_time,lk_mem
4,0,116.43550579691987,9.155899999768735e-05,1.078125,116.43550579691986,0.00011004499998534811,1.625,116.43550579691987,8.88650000092639e-05,0.75,116.43550579691987,0.000185576000006904,0.75
4,1,183.21749142839562,5.681700000081946e-05,0.8984375,183.2174914283956,9.441500000662018e-05,1.5078125,192.24470656235673,7.88450000186458e-05,0.75,183.21749142839562,0.0002320000000111122,0.75
4,2,150.20634429141074,5.171600000153376e-05,0.8984375,150.20634429141074,9.215700001163896e-05,1.5078125,150.20634429141074,7.80729999974028e-05,0.75,150.20634429141074,0.00015860900001030132,0.75
4,3,200.90982639748282,5.142400002000613e-05,0.8984375,200.9098263974828,9.517699999150864e-05,1.5078125,200.9098263974828,7.921899998564186e-05,0.75,200.90982639748282,0.0001329339999927015,0.75
4,4,180.56171969289062,5.121499998494983e-05,0.8984375,180.56171969289062,9.160799999108349e-05,1.5078125,180.56171969289062,7.70150000164449e-05,0.75,180.56171969289062,0.00013362799998617447,0.75
4,5,129.97890851012272,5.27150000095844e-05,0.84375,129.97890851012272,0.00046240099999295126,2.2099609375,129.97890851012272,9.292800001503565e-05,0.75,129.97890851012272,0.00013953799998489558,0.75
4,6,258.23425028396304,5.749100000684848e-05,0.9609375,258.234250283963,9.484200000997589e-05,1.5078125,258.234250283963,8.00040000115132e-05,0.75,258.23425028396304,0.00016147799999544077,0.75
4,7,122.38878045717749,5.278300000099989e-05,0.8984375,122.38878045717749,9.445300000265888e-05,1.5078125,122.38878045717749,7.93039999962275e-05,0.75,122.38878045717749,0.00013699699999847326,0.75
4,8,162.32875620192073,5.432499997937157e-05,0.84375,162.32875620192073,9.36499999966145e-05,1.5078125,162.32875620192073,7.865300000275965e-05,0.75,162.32875620192073,0.000133467999972936,0.75
4,9,110.61145850711901,4.887699998334938e-05,0.84375,110.61145850711901,9.520399999018991e-05,1.5078125,110.61145850711901,0.00010150500000349894,0.75,110.61145850711901,0.00014303800000448064,0.75
